index,production_companies,production_countries,,
1083,"{{""name"": ""StudioCanal"", ""id"": 694}, {""name"": ""M6 Films"", ""id"": 1115}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Cin\u00e9Cin\u00e9ma"", ""id"": 6301}, {""name"": ""Babylon"", ""id"": 11259}, {""name"": ""Babylon Films Limited"", ""id"": 11260}, {""name"": ""M6"", ""id"": 11261}, {""name"": ""MNP Entreprise"", ""id"": 20240}}","{{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}}",,
1084,"{{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Seagal/Nasso Productions"", ""id"": 17825}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1085,"{{""name"": ""Columbia Pictures Corporation"", ""id"": 441}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1086,"{{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Josephson Entertainment"", ""id"": 1894}, {""name"": ""New Upstairs Productions"", ""id"": 3855}, {""name"": ""Upstairs Canada Productions"", ""id"": 3856}}","{{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1087,"{{""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Franchise Pictures"", ""id"": 1403}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}, {""name"": ""Clyde Is Hungry Films"", ""id"": 12263}, {""name"": ""Pledge Productions"", ""id"": 12264}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1088,"{{""name"": ""Sony Pictures"", ""id"": 34}, {""name"": ""Gaumont Columbia Tristar Films"", ""id"": 145}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1089,"{{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""The Ladd Company"", ""id"": 7965}}","{{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1090,"{{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Miramax Films"", ""id"": 14}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1091,"{{""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""Cinergi Pictures Entertainment"", ""id"": 1504}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1092,"{{""name"": ""Studio Babelsberg"", ""id"": 264}, {""name"": ""Runteam Ltd."", ""id"": 265}, {""name"": ""R.P. Productions"", ""id"": 355}, {""name"": ""France 2 Cin\u00e9ma"", ""id"": 15671}}","{{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1093,"{{""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""Cinergi Pictures Entertainment"", ""id"": 1504}, {""name"": ""Calimari Productions"", ""id"": 45518}}","{{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1094,"{{""name"": ""Rai Cinema"", ""id"": 2683}, {""name"": ""40 Acres & A Mule Filmworks"", ""id"": 4319}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""On My Own"", ""id"": 20341}}","{{""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1095,"{{""name"": ""Beijing New Picture Film Co. Ltd."", ""id"": 724}}","{{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}}",,
1096,"{{""name"": ""Virtual Studios"", ""id"": 449}, {""name"": ""Initial Entertainment Group"", ""id"": 704}, {""name"": ""Saturn Films"", ""id"": 831}, {""name"": ""International Production Company"", ""id"": 1507}, {""name"": ""Blue Star Pictures"", ""id"": 2779}, {""name"": ""Living Films"", ""id"": 2877}, {""name"": ""Bangkok Dangerous"", ""id"": 2878}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1097,"{{""name"": ""Touchstone Pictures"", ""id"": 9195}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1098,"{{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Grosvenor Park Media Ltd."", ""id"": 2053}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1099,"{{""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""Cinergi Pictures Entertainment"", ""id"": 1504}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1100,"{{""name"": ""Universal Pictures"", ""id"": 33}}","{{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}}",,
1101,"{{""name"": ""Threshold Entertainment"", ""id"": 4174}, {""name"": ""Lions Gate Family Entertainment"", ""id"": 6574}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1102,"{{""name"": ""GK Films"", ""id"": 3281}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Smokehouse Pictures"", ""id"": 22695}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1103,"{{""name"": ""Warner Bros."", ""id"": 6194}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1104,"{{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Madhouse Entertainment"", ""id"": 12199}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1105,"{{""name"": ""Propaganda Films"", ""id"": 278}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Baltimore Pictures"", ""id"": 11407}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1106,"{{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Carolco Pictures"", ""id"": 14723}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1107,"{{""name"": ""Columbia Pictures Corporation"", ""id"": 441}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1108,"{{""name"": ""RKO Radio Pictures"", ""id"": 6}, {""name"": ""Walt Disney Productions"", ""id"": 3166}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1109,"{{""name"": ""United Artists"", ""id"": 60}, {""name"": ""The Criterion Collection"", ""id"": 10932}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1110,"{{""name"": ""Lakeshore Entertainment"", ""id"": 126}, {""name"": ""Screen Gems"", ""id"": 3287}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1111,"{{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Moving Picture Company (MPC)"", ""id"": 20478}, {""name"": ""TSG Entertainment"", ""id"": 22213}}","{{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1112,"{{""name"": ""Fountainbridge Films"", ""id"": 414}, {""name"": ""Laurence Mark Productions"", ""id"": 415}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Finding Forrester Productions"", ""id"": 50830}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1113,"{{""name"": ""Columbia Pictures"", ""id"": 5}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1114,"{{""name"": ""Canal Plus"", ""id"": 104}, {""name"": ""Current Entertainment"", ""id"": 972}, {""name"": ""Clubdeal"", ""id"": 2748}, {""name"": ""TF1 Films Production"", ""id"": 3823}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""Qian Yian International"", ""id"": 66739}, {""name"": ""Danny the Dog Prods Ltd."", ""id"": 66740}}","{{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1115,"{{""name"": ""Konrad Pictures"", ""id"": 85}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1116,"{{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Mirage Enterprises"", ""id"": 932}, {""name"": ""Davis Entertainment"", ""id"": 1302}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1117,"{{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Marc Platt Productions"", ""id"": 2527}, {""name"": ""Relativity Media"", ""id"": 7295}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1118,"{{""name"": ""CBS Films"", ""id"": 5490}, {""name"": ""Millennium Films"", ""id"": 10254}, {""name"": ""Chartoff-Winkler Productions"", ""id"": 12252}, {""name"": ""Scared Productions"", ""id"": 22035}, {""name"": ""Nu Image Entertainment GmbH"", ""id"": 22443}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1119,"{{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Stephen J. Cannell Productions"", ""id"": 5585}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1120,"{{""name"": ""Bookshop Productions"", ""id"": 282}, {""name"": ""Notting Hill Pictures"", ""id"": 283}, {""name"": ""Working Title Films"", ""id"": 10163}, {""name"": ""Polygram Filmed Entertainment"", ""id"": 31080}}","{{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1121,"{{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Aardman Animations"", ""id"": 297}, {""name"": ""DreamWorks Animation"", ""id"": 521}, {""name"": ""Path\u00e9"", ""id"": 7981}}","{{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}}",,
1122,"{{""name"": ""Jersey Films"", ""id"": 216}, {""name"": ""Loofah Productions"", ""id"": 53626}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1123,"{{""name"": ""Paramount Pictures"", ""id"": 4}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1124,"{{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Ingenious Media"", ""id"": 290}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Chernin Entertainment"", ""id"": 7076}, {""name"": ""Big Screen Productions"", ""id"": 10893}, {""name"": ""TSG Entertainment"", ""id"": 22213}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1125,"{{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""MCL Films S.A."", ""id"": 11451}, {""name"": ""Walwa Films S.A."", ""id"": 11452}}","{{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CH"", ""name"": ""Switzerland""}}",,
1126,"{{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Broken Road Productions"", ""id"": 8000}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1127,"{{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Monarch Pictures"", ""id"": 966}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Manifest Film Company"", ""id"": 20719}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1128,"{{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Phoenix Pictures"", ""id"": 11317}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1129,"{{""name"": ""Lakeshore Entertainment"", ""id"": 126}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1130,"{{""name"": ""Universal Pictures"", ""id"": 33}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1131,"{{""name"": ""Eon Productions"", ""id"": 7576}}","{{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1132,"{{""name"": ""Appian Way"", ""id"": 562}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Random Films"", ""id"": 7262}}","{{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1133,"{{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Industry Entertainment"", ""id"": 376}, {""name"": ""Tribeca Productions"", ""id"": 11391}, {""name"": ""New Redemption Pictures"", ""id"": 67171}}","{{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1134,"{{""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""Cinergi Pictures Entertainment"", ""id"": 1504}, {""name"": ""Allied Filmmakers"", ""id"": 1755}, {""name"": ""Walt Disney"", ""id"": 5888}, {""name"": ""Nintendo"", ""id"": 12288}}","{{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1135,"{{""name"": ""Saturn Films"", ""id"": 831}, {""name"": ""Ascendant Pictures"", ""id"": 1204}, {""name"": ""Endgame Entertainment"", ""id"": 1205}, {""name"": ""Entertainment Manufacturing Company"", ""id"": 1206}, {""name"": ""Rising Star"", ""id"": 1208}, {""name"": ""Copag V"", ""id"": 21938}}","{{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}}",,
1136,"{{""name"": ""Beijing New Picture Film Co. Ltd."", ""id"": 724}, {""name"": ""China Film Co-Production Corporation"", ""id"": 2269}}","{{""iso_3166_1"": ""CN"", ""name"": ""China""}}",,
1137,"{{""name"": ""Lakeshore Entertainment"", ""id"": 126}, {""name"": ""Sidney Kimmel Entertainment"", ""id"": 737}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1138,"{{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Point Grey Pictures"", ""id"": 16615}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1139,"{{""name"": ""Boram Entertainment Inc."", ""id"": 2965}}","{{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""KR"", ""name"": ""South Korea""}}",,
1140,"{{""name"": ""France 2 Cin\u00e9ma"", ""id"": 83}, {""name"": ""France 3 Cin\u00e9ma"", ""id"": 591}, {""name"": ""Epith\u00e8te Films"", ""id"": 7286}, {""name"": ""France 3 (FR 3)"", ""id"": 11244}, {""name"": ""R\u00e9gion Ile-de-France"", ""id"": 11246}, {""name"": ""France 2 (FR2)"", ""id"": 11359}, {""name"": ""Orange Cin\u00e9ma S\u00e9ries"", ""id"": 11620}, {""name"": ""Tapioca Films"", ""id"": 12000}, {""name"": ""Warner Bros. Entertainment France"", ""id"": 12001}}","{{""iso_3166_1"": ""FR"", ""name"": ""France""}}",,
1141,"{{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""Mikona Productions GmbH & Co. KG"", ""id"": 24}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1142,"{{""name"": ""Path\u00e9 Films"", ""id"": 4959}, {""name"": ""Bor\u00e9ales"", ""id"": 8606}}","{{""iso_3166_1"": ""FR"", ""name"": ""France""}}",,
1143,"{{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Escape Artists"", ""id"": 1423}, {""name"": ""Black and Blu Entertainment"", ""id"": 53007}, {""name"": ""Finestkind"", ""id"": 53008}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1144,"{{""name"": ""Living Films"", ""id"": 2877}, {""name"": ""Emperor Multimedia Group (EMG)"", ""id"": 3320}, {""name"": ""Golden Port Productions Ltd."", ""id"": 73998}}","{{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1145,"{{""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""The Kennedy/Marshall Company"", ""id"": 862}, {""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""Barry Mendel Productions"", ""id"": 17032}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1146,"{{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Di Bonaventura Picture"", ""id"": 5955}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1147,"{{""name"": ""Ingenious Media"", ""id"": 290}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Deuce Three Productions"", ""id"": 812}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Red Hour Films"", ""id"": 12178}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1148,"{{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Jerry Weintraub Productions"", ""id"": 2596}, {""name"": ""Delphi Films"", ""id"": 4267}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1149,"{{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Annapurna Pictures"", ""id"": 13184}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1150,"{{""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Kurtzman/Orci"", ""id"": 12536}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1151,"{{""name"": ""Paramount Pictures"", ""id"": 4}}","{{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1152,"{{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""U-Drive Productions"", ""id"": 20448}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1153,"{{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""TF1 Films Production"", ""id"": 3823}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""EuropaCorp"", ""id"": 6896}, {""name"": ""Cin\u00e9+"", ""id"": 23616}}","{{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1154,"{{""name"": ""Focus Features"", ""id"": 10146}, {""name"": ""Trigger Street Productions"", ""id"": 11801}, {""name"": ""Michael De Luca Productions"", ""id"": 27551}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1155,"{{""name"": ""Dimension Films"", ""id"": 7405}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1156,"{{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Warner Bros."", ""id"": 6194}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1157,"{{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Robert Simonds Productions"", ""id"": 3929}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1158,"{{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Weed Road Pictures"", ""id"": 433}, {""name"": ""Herrick Entertainment"", ""id"": 6666}, {""name"": ""Leverage Management"", ""id"": 8536}, {""name"": ""Closest to the Hole Productions"", ""id"": 8537}, {""name"": ""Emmett/Furla Films"", ""id"": 10405}, {""name"": ""Envision Entertainment Corporation"", ""id"": 11030}, {""name"": ""Film 44"", ""id"": 20153}, {""name"": ""Foresight Unlimited"", ""id"": 21897}, {""name"": ""Hollywood Studios International"", ""id"": 22610}, {""name"": ""Spikings Entertainment"", ""id"": 22611}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1159,"{{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Parkway Productions"", ""id"": 1350}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1160,"{{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""The Safran Company"", ""id"": 11565}, {""name"": ""Evergreen Media Group"", ""id"": 31375}, {""name"": ""warner bross Turkey"", ""id"": 47502}, {""name"": ""Soho VFX"", ""id"": 54392}, {""name"": ""Atomic Monster"", ""id"": 76907}}","{{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1161,"{{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Relativity Media"", ""id"": 7295}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1162,"{{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Flower Films (II)"", ""id"": 19813}, {""name"": ""Internationale Filmproduktion Blackswan"", ""id"": 51190}}","{{""iso_3166_1"": ""NL"", ""name"": ""Netherlands""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}}",,
1163,"{{""name"": ""Dimension Films"", ""id"": 7405}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1164,"{{""name"": ""Konrad Pictures"", ""id"": 85}, {""name"": ""Craven-Maddalena Films"", ""id"": 1600}, {""name"": ""Dimension Films"", ""id"": 7405}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1165,"{{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""U-Drive Productions"", ""id"": 20448}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1166,"{{""name"": ""Gary Sanchez Productions"", ""id"": 4740}, {""name"": ""Warner Bros."", ""id"": 6194}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1167,"{{""name"": ""American Zoetrope"", ""id"": 70}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Osiris Films"", ""id"": 2019}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1168,"{{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Easy There Tiger Productions"", ""id"": 11804}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1169,"{{""name"": ""Warner Bros."", ""id"": 6194}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1170,"{{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Timnick Films"", ""id"": 679}, {""name"": ""Mirage Enterprises"", ""id"": 932}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1171,"{{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Conundrum Entertainment"", ""id"": 1156}, {""name"": ""Red Granite Pictures"", ""id"": 19177}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1172,"{{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Vertigo Entertainment"", ""id"": 829}, {""name"": ""Kennedy/Marshall Company, The"", ""id"": 7383}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Winking Productions"", ""id"": 20669}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1173,"{{""name"": ""Waverly Films"", ""id"": 735}, {""name"": ""Warner Bros."", ""id"": 6194}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1174,"{{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Cube Vision"", ""id"": 2780}, {""name"": ""Will Packer Productions"", ""id"": 49968}, {""name"": ""Reel Chefs Catering"", ""id"": 83397}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1175,"{{""name"": ""Morgan Creek Productions"", ""id"": 10210}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1176,"{{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Bristol Bay Productions"", ""id"": 2233}, {""name"": ""Baldwin Entertainment Group"", ""id"": 2234}, {""name"": ""Anvil Films"", ""id"": 8833}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1177,"{{""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Troublemaker Studios"", ""id"": 10807}, {""name"": ""Miramax"", ""id"": 53009}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1178,"{{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Kanzaman"", ""id"": 4169}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Art In Motion"", ""id"": 31604}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1179,"{{""name"": ""The Montecito Picture Company"", ""id"": 2364}, {""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Bernard Gayle Productions"", ""id"": 3194}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1180,"{{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1181,"{{""name"": ""Camelot Productions"", ""id"": 523}, {""name"": ""Canal Plus Group"", ""id"": 524}, {""name"": ""Ixtlan Productions"", ""id"": 525}, {""name"": ""Warner Bros."", ""id"": 6194}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1182,"{{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Firm Films"", ""id"": 1838}, {""name"": ""Deep River Productions"", ""id"": 2646}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Ed Friendly Productions"", ""id"": 47635}, {""name"": ""Runteldat Entertainment"", ""id"": 73956}, {""name"": ""Big Lou House Productions"", ""id"": 79036}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1183,"{{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Newmarket Capital Group"", ""id"": 506}, {""name"": ""Lawrence Bender Productions"", ""id"": 2253}, {""name"": ""Pistolero Productions LLC"", ""id"": 55852}}","{{""iso_3166_1"": ""MX"", ""name"": ""Mexico""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
1184,"{{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Offspring Entertainment"", ""id"": 2378}}","{{""iso_3166_1"": ""US"", ""name"": ""United States of America""}}",,
